Year,Alum Band ID,Frequency,Nest Attempt,Bird Capture Site,NestID,FlagLat,FlagLong,FlagBear,NestLat,NestLong,Nest Description,Clutch Size,Date Counted,FloatA,FloatB,FloatC,FloatD,FloatAverage,Est.Laying.Initiation,EstimatedHatch,Fate,Comments
2019,925,150.572,1,Monroe (Cunningham),925-2019-1,44.578459,-68.977612,290,44.578595,-68.97788,in patch of juniper w/ little overhead direct cover. on hill side in mixed hardwood forest,16,6/5/2019,19-21,22-24,22-24,22-24,22,4/29/2019,6/10/2019,0,hen killed at nest site. not all eggs accoutned for. at least 7 hatched
2019,426,149.057,1,Emera,426-2019-1,,,,44.779014,-68.795223,,NA,NA,NA,NA,NA,NA,NA,5/6/2019,6/10/2019,1,
2019,904,150.602,1,Hampden,904-2019-1,,,,44.7444995,-68.890494,swamp bank in low alder overhang,8,5/23/2019,NA,NA,NA,NA,NA,5/13/2019,6/10/2019,1,Flushed bird off predated eggs
2019,265,149.152,1,Bradford,265-2019-1,45.08162,-68.91406,331,45.08152,-68.91438,Nest is in a pile of branches/twigs below a clump of speckled alders,11,5/30/2019,16,16,8-11,16,15,5/4/2019,6/11/2019,0,"nest hatched 6-13-19, 10 of 11 eggs hatched"
2019,424,150.473,1,Emera,424-2019-1,44.777,-68.80073,90,44.77708,-68.80052,"Nest bowl found against tree, no eggs",NA,NA,NA,NA,NA,NA,NA,5/5/2019,6/11/2019,1,
2019,836,149.783,1,Day,836-2019-1,44.97182,-69.1035,143,44.97156,-69.10329,Nest is in the middle of a huge cedar swamp and near impossible to find,11,5/28/2019,9-11,16,16,9-11,13,5/4/2019,6/11/2019,1,Female died at some point. not sure of dat she was fiving mortality singal since she nested and died close to nest
2019,447,149.062,1,Davis Oil,447-2019-1,,,,44.82685,-68.72092,,11,NA,NA,NA,NA,NA,NA,5/4/2019,6/12/2019,1,nest bowl had 11 warm eggs in it. 1 taken for steph
2019,833,149.112,1,Day,833-2019-1,,,,44.999281,-69.100394,,NA,NA,NA,NA,NA,NA,NA,5/3/2019,6/12/2019,1,
2019,395,149.183,1,Roger's Farm,395-2019-1,44.98793,-68.76515,14,44.98927,-68.7664,"In open thicket, tucked under a fallen log",11,5/7/2019,NA,NA,NA,NA,NA,5/5/2019,6/13/2019,0,"Hatch date estimated as 28 days before hatch plus 11 days for clutch size, Hen nearby, all eggs hatched. Float never done, therefore incubation date and estimated hatch date unknown"
2019,392,149.704,1,Roger's Farm,392-2019-1,44.96873,-68.72213,4,44.97047,-68.7225,Near a small group of youmg trees in grass swamp,13,5/28/2019,9-11,9-11,9-11,9-11,10,5/5/2019,6/14/2019,1,"Nest predated, no egg remains found in nest"
2019,411,149.333,1,Brad St,411-2019-1,44.80463,-69.28328,346,44.80917,-69.27972,~4' in front of big log,13,6/4/2019,16,16,16,16,16,5/6/2019,6/15/2019,1,Abandoned after flushing
2019,423,149.604,1,Euguly,423-2019-1,45.06084,-68.53739,92,45.06104,-68.53616,Under a small fir in dense fir undergrowth,15,5/22/2019,3,3,3,3,3,5/4/2019,6/15/2019,1,Nest abandoned
2019,375,149.106,1,Perry,375-2019-1,,,,44.776608,-68.813514,,NA,NA,NA,NA,NA,NA,NA,5/6/2019,6/16/2019,1,
2019,1006,149.453,1,Poland (Fernald),1006-2019-1,44.059049,-70.299078,220,44.058624,-70.298926,"in 15"" tall patch of ferns. 20 feet from gravel pit. in an old road strip with aldas spread thin",11,6/19/2019,NA,NA,NA,NA,NA,5/11/2019,6/17/2019,0,did not float eggs. hen sat very tight each time i considered it. would have had to push hen off. decided against it. egg shells relaticely fresh (est 2 days since hatch on 6-19 visit)
2019,409,149.084,1,Brad St,409-2019-1,,,,44.818393,-69.298899,,NA,NA,NA,NA,NA,NA,NA,5/11/2019,6/18/2019,1,
2019,1008,149.312,1,Poland (Fernald),1008-2019-1,44.070556,-70.307988,230,44.07014,-70.30852,at base of 8' pine sapling. in hummock 1.5 feet up from stranding water. in patch of early successional surrounded by fields.,12,5/24/2019,1-3,1-3,1-3,1-3,2,5/22/2019,6/18/2019,1,"eggs abandoned, all 12 still there. cold w/ debris on top. flushed at 1500. returned at 2100 and hen gone from nest."
2019,410,149.119,1,Brad St,410-2019-1,,,,44.826779,-69.287252,,NA,NA,NA,NA,NA,NA,NA,5/13/2019,6/19/2019,0,
